student_id,joc_id,thread_id
12044,joc_00171,12A-03N010
12045,joc_00172,12A-03N004
12016,joc_00173,12A-03N007
12035,joc_00174,12A-03N027
12028,joc_00175,12A-03N012
12033,joc_00176,12A-03N001
12024,joc_00177,12A-03N030
12020,joc_00178,12A-03N020
12046,joc_00179,12A-03N028
12002,joc_00180,12A-03N009
12034,joc_00181,12A-03N005
12032,joc_00182,12A-03N002
12021,joc_00183,12A-03N029
12017,joc_00184,12A-03N021
12026,joc_00185,12A-03N018
12015,joc_00186,12A-04N024
12060,joc_00187,12A-04N051
12006,joc_00188,12A-04N034
12016,joc_00189,12A-04N046
12019,joc_00190,12A-04N038
12017,joc_00191,12A-04N028
12050,joc_00192,12A-04N050
12018,joc_00193,12A-04N054
12047,joc_00194,12A-04N060
12039,joc_00195,12A-04N065
12042,joc_00196,12A-04N010
12034,joc_00197,12A-04N025
12055,joc_00198,12A-04N014
12009,joc_00199,12A-04N055
12059,joc_00200,12A-04N056
12062,joc_00201,12A-04N064
12049,joc_00202,12A-04N017
12045,joc_00203,12A-04N041
12013,joc_00204,12A-04N021
12044,joc_00205,12A-04N058
12046,joc_00206,12A-04N032
12038,joc_00207,12A-04N015
12054,joc_00208,12A-04N012
12032,joc_00209,12A-04N029
12040,joc_00210,12A-04N048
12027,joc_00211,12A-04N066
12041,joc_00212,12A-04N039
12028,joc_00213,12A-04N037
12007,joc_00214,12A-04N062
12012,joc_00215,12A-04N031
12058,joc_00216,12A-04N027
12005,joc_00217,12A-04N043
12003,joc_00218,12A-04N040
12020,joc_00219,12A-04N022
12051,joc_00220,12A-04N016
12033,joc_00221,12A-04N063
12011,joc_00222,12A-04N018
12033,joc_00223,12A-04N023
12063,joc_00224,12A-04N052
12023,joc_00225,12A-04N053
12013,joc_00226,12A-04N007
12014,joc_00227,12A-04N059
12053,joc_00228,12A-04N019
12026,joc_00229,12A-04N042
12010,joc_00230,12A-04N057
12029,joc_00231,12A-04N033
12021,joc_00232,12A-04N002
12001,joc_00233,12A-04N030
12022,joc_00234,12A-04N035
12024,joc_00235,12A-04N061
12043,joc_00236,12A-04N036
12040,joc_00237,12A-04N026
12030,joc_00238,12A-04N049
12061,joc_00239,12A-04N013
12040,joc_00240,12A-04N009
12052,joc_00241,12A-04N068
12025,joc_00242,12A-04N044
12013,joc_00243,12A-04N008
12002,joc_00244,12A-04N067
12054,joc_00245,12A-04N011
12044,joc_00246,12A-04N004
12035,joc_00247,12A-04N003
12008,joc_00248,12A-04N006
12048,joc_00249,12A-04N020
12036,joc_00250,12A-04N069
12050,joc_00251,12A-04N070
12031,joc_00252,12A-04N045
12004,joc_00253,12A-04N005
12037,joc_00254,12A-04N071
12063,joc_00255,12A-04N001
12059,joc_00256,12A-04N047
12017,joc_00257,12A-05N027
12002,joc_00258,12A-05N086
12061,joc_00259,12A-05N059
12005,joc_00260,12A-05N075
12009,joc_00261,12A-05N040
12029,joc_00262,12A-05N090
12046,joc_00263,12A-05N054
12016,joc_00264,12A-05N076
12032,joc_00265,12A-05N031
12050,joc_00266,12A-05N019
12060,joc_00267,12A-05N058
12016,joc_00268,12A-05N068
12035,joc_00269,12A-05N035
12047,joc_00270,12A-05N091
12022,joc_00271,12A-05N007
12016,joc_00272,12A-05N005
12051,joc_00273,12A-05N022
12038,joc_00274,12A-05N066
15037,joc_00275,12A-05N067
12026,joc_00276,12A-05N024
12027,joc_00277,12A-05N087
15041,joc_00278,12A-05N088
12001,joc_00279,12A-05N033
12021,joc_00280,12A-05N078
15041,joc_00281,12A-05N079
12003,joc_00282,12A-05N045
12055,joc_00283,12A-05N020
12043,joc_00284,12A-05N063
15045,joc_00285,12A-05N072
12049,joc_00286,12A-05N023
12053,joc_00287,12A-05N002
12043,joc_00288,12A-05N070
12054,joc_00289,12A-05N021
12001,joc_00290,12A-05N083
12030,joc_00291,12A-05N057
12020,joc_00292,12A-05N028
12014,joc_00293,12A-05N069
12040,joc_00294,12A-05N056
12033,joc_00295,12A-05N032
12014,joc_00296,12A-05N093
12029,joc_00297,12A-05N036
12044,joc_00298,12A-05N017
12055,joc_00299,12A-05N082
12018,joc_00300,12A-05N003
12013,joc_00301,12A-05N030
12041,joc_00302,12A-05N077
15079,joc_00303,12A-05N092
12047,joc_00304,12A-05N047
12049,joc_00305,12A-05N062
12058,joc_00306,12A-05N025
12006,joc_00307,12A-05N026
12024,joc_00308,12A-05N038
12003,joc_00309,12A-05N074
12012,joc_00310,12A-05N029
12053,joc_00311,12A-05N061
12010,joc_00312,12A-05N064
15038,joc_00313,12A-05N065
12053,joc_00314,12A-05N060
12039,joc_00315,12A-05N008
12030,joc_00316,12A-05N081
15016,joc_00317,12A-05N073
12045,joc_00318,12A-05N046
12023,joc_00319,12A-05N006
12024,joc_00320,12A-05N089
12043,joc_00321,12A-05N004
12022,joc_00322,12A-05N034
12052,joc_00323,12A-05N084
15012,joc_00324,12A-05N085
12034,joc_00325,12A-05N009
12025,joc_00326,12A-05N041
12061,joc_00327,12A-05N044
12050,joc_00328,12A-05N071
12056,joc_00329,12A-05N042
12034,joc_00330,12A-05N043
12059,joc_00331,12A-05N080
12019,joc_00332,12A-05N010
12062,joc_00333,12A-05N052
12038,joc_00334,12A-05N016
12062,joc_00335,12A-05N095
12028,joc_00336,12A-05N011
12010,joc_00337,12A-05N015
12004,joc_00338,12A-05N094
14050,joc_00339,12A-05N050
15004,joc_00340,12A-05N051
12042,joc_00341,12A-05N012
12041,joc_00342,12A-05N014
12011,joc_00343,12A-05N013
15078,joc_00344,12A-05N053
12005,joc_00345,12A-05N037
12048,joc_00346,12A-05N018
12063,joc_00347,12A-05N096
12047,joc_00348,12A-05N048
12015,joc_00349,12A-05N039
15057,joc_00350,12A-05N049
12007,joc_00351,12A-05N097
15024,joc_00352,12A-05N098
12063,joc_00353,12A-05N001
15066,joc_00354,12A-05N055
12051,joc_00355,12A-06N001
15073,joc_00356,12B-03O001
13013,joc_00357,12A-06O004
13046,joc_00358,12A-06O011
13030,joc_00359,12A-06O013
13023,joc_00360,12A-06O016
12010,joc_00361,12A-06N002
15063,joc_00362,12A-06O001
12048,joc_00363,12A-06N101
12029,joc_00364,12A-06N003
12053,joc_00365,12B-03N001
15053,joc_00366,12A-06O002
12040,joc_00367,12A-06N004
12022,joc_00368,12B-03N002
15035,joc_00369,12A-06O003
12006,joc_00370,12A-06N005
12052,joc_00371,12B-03N003
15064,joc_00372,12A-06O006
12017,joc_00373,12A-06N006
12006,joc_00374,12B-03N004
15030,joc_00375,12A-06O007
