topic_id,headline,material,type
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
12A-06N,Japanese man kills two in hope of the death penalty,supported,news
